,GTM Template ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2B Marketing,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onboarding,N
,,BRD Requirement Details,,,,,,,,,,RACI Matrix,,,,Tech Development Need,,,,RACI Matrix,,,,Content Need,,,,RACI Matrix,,,,Training and Communication Plan,,,,,,,RACI Matrix,,,,Capabilities Enhancement,,,Cost Benefit,,,,,Risk Mitigation Plan,,,,,,,,,,,,,,Go-Live Plan,,,,,,,Closure,,,,,,,,,,,,,Listing,
,Particulars ,BRD  Ref Number,BRD Date,Approved,Approved by ,Approval date ,Stakeholder / s,Stakeholder BU/s ,Expected Impact Bu/s,Stakeholder/s Approved ,Stk App Date ,Responsible,Accoutnable,Consulted,Informed,Tech Requirement,Development Time Estimate,Development Start Date,Development End Date,Responsible,Accoutnable,Consulted,Informed,Content Creation equired,Content Created by,Content Approval,Content Approved,Responsible,Accoutnable,Consulted,Informed,Communication to end User,Internal Business Users to whom communication sent,Communication Sent date,Training  Required,Training provided ,Training I Date ,Training C Date ,Responsible,Accoutnable,Consulted,Informed,Capability Enahancement ,Capability Enahancement Impact Areas,Capability Enhancement Measurement,Checked by ,Cost Assigned to BU/s,Pass on by ,Cost Approval ,Approved by ,Pre Launch Check List ,UAT Reqd,UAT Conductyed by,UAT Date,Vetted by Stakeholders ,Feedback Taken From,Feedback ,Feedback Incorporated,Feedback Incoporation Date,Final UAT,UAT Conducted by,Final Sign Off ,GTM Sign off,SVP Sign Off ,Launch date ,Post Launch Support Needed,Post Launch Support Provided by,Program Status ,Post Launch Risk Assesment done,Post Luanch Risk Asesment done by,Remarks ,Program Closure Date ,Program Closure Comment,,,,,,,,,,,,Activation,
1,Project Aqua ,TBA,22/Jul,Y,VC,July ,Pradeep/ Arpan,Sellers Help,MD/MKT H,Y,July,See Line Items ,See Line Items ,See Line Items ,See Line Items ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,Y,GA/ SG ,Seller Help Impact ,Y,31st July ,,,N,N,N,04/Aug,,,RTM ,,,,25th Sept,,,,,,,,,,,,,Sellers Help,
,Line Items :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/Aug,,,RTM ,,,,,,,,,,,,,,,,,AM,
a,Stakeholder Meet,,23/Jul,Y,VC,23/July ,Pradeep/ Arpan,Sellers Help,MD/MKT H,Y,July,Pradeep/ Arpan,Anmol/ Mahesh,Gunjan/ Sanjay/ Vikas/ Shalini / Varun / Lokesh,Team Members,Y,BRAVO - Existing ,BRAVO - Existing ,BRAVO - Existing ,Syatem Owner,Syatem Owner,Syatem Owner,Syatem Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,Y,,,04/Aug,,,RTM ,,,,,,,,,,,,,,,,,Ecosystem,
b,Training Content ,,24/Jul,,GA, 24/July ,Vikas Pandit,Activation,MD/MKT H,Y,28/Jul,VP,VP,GA,Maruti ,N,,,,,,,,Y,Maruti,VP/GA,Y,VP,VP,VP,Maruti,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,Y,,,04/Aug,,,RTM ,,,,,,,,,,,,,,,,,Others,
c,Emailer Content ,,23/Jul,Y,,24th July,Shalini Srivastava,Activation,MD/MKT H,Y,28/Jul,SS,SS,GA/ JS,Anmol Arora ,N,,,,,,,,Y,SS,JS,Y,SS,SS,AA,PS / AS/ GA ,Y,LM/VS/ GA/ VM/ SG/PS ,04/Aug,Y,,,,,,,,,,,,,,,,,Y,SS,3rd Aug,Y,AA,Post UAT ,N,3rdAug ,Pending ,SS,N,,,04/Aug,,,RTM ,,,,,,,,,,,,,,,,,,
d,Training F2F TOT ,,23/Jul,Y,VC,23rd July ,Anmol Arora ,Others,MD/MKT H,Y,28/Jul,AA,AA,Arpan Saha,LM / BD / PS/GA/SG/VS,N,,,,,,,,,,,,,,,,,,,Y,Y,29/Jul,4th Aug ,AA,AA,Arpan Saha,PS/ GA/ LM/ VS/ ,,,,,,,,,,N,,,,,,,,,,N,,,04/Aug,,,RTM ,,,,,,,,,,,,,,,,,,
e,Seller Help Impact ,,23/Jul,Y,VC,23rd July ,Mahesh K,Sellers Help,MD/MKT H,Y,31/Jul,MK/ Ajay,SG,Arpan Saha,AA/ PS ,N,Existing Platform ,Existing  ,Existing  ,Syatem Owner,Syatem Owner,Syatem Owner,Syatem Owner,,,,,,,,,,,,,,,,,,,,Y,Call Inflow # ,Communication Via Intervals ,,,,,,,N,,,,,,,,,,Y,,,04/Aug,,,RTM ,,,,,,,,,,,,,,,,,,
f,ORM & Escalations Mgmt ,,31/Jul,Y,VM,31st July,Kanwardeep Singh,B2B Marketing,Enterprise,Y,31/Jul,KDS,KDS,VM/ Arpan Saha,Sushant Kumar ,N,NA,NA,NA,NA,NA,NA,NA,Y,KDS,WIP,N,KDS,KDS,VM,SK,N,,,,,,,,,,,N,,,,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,
g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Line Items ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Line Items ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
